Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","7","Angola","5532","Producer Price (USD/tonne)","486","Bananas","2010","2010","7021","Annual value","USD","174.1","","Official data"
"PP","Producer Prices","7","Angola","5532","Producer Price (USD/tonne)","486","Bananas","2011","2011","7021","Annual value","USD","206.5","","Official data"
"PP","Producer Prices","7","Angola","5532","Producer Price (USD/tonne)","486","Bananas","2012","2012","7021","Annual value","USD","502.8","","Official data"
"PP","Producer Prices","7","Angola","5532","Producer Price (USD/tonne)","486","Bananas","2013","2013","7021","Annual value","USD","297.2","","Official data"
"PP","Producer Prices","7","Angola","5532","Producer Price (USD/tonne)","486","Bananas","2014","2014","7021","Annual value","USD","308.8","","Official data"
"PP","Producer Prices","7","Angola","5539","Producer Price Index (2014-2016 = 100)","486","Bananas","2010","2010","7021","Annual value","","48.05","Fc","Calculated data"
"PP","Producer Prices","7","Angola","5539","Producer Price Index (2014-2016 = 100)","486","Bananas","2011","2011","7021","Annual value","","58.26","Fc","Calculated data"
"PP","Producer Prices","7","Angola","5539","Producer Price Index (2014-2016 = 100)","486","Bananas","2012","2012","7021","Annual value","","144.14","Fc","Calculated data"
"PP","Producer Prices","7","Angola","5539","Producer Price Index (2014-2016 = 100)","486","Bananas","2013","2013","7021","Annual value","","86.15","Fc","Calculated data"
"PP","Producer Prices","8","Antigua and Barbuda","5532","Producer Price (USD/tonne)","486","Bananas","2008","2008","7021","Annual value","USD","1833.3","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","486","Bananas","1994","1994","7021","Annual value","USD","422.4","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","486","Bananas","1995","1995","7021","Annual value","USD","468.1","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","486","Bananas","1996","1996","7021","Annual value","USD","490.2","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","486","Bananas","1997","1997","7021","Annual value","USD","458.2","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","486","Bananas","1998","1998","7021","Annual value","USD","432.2","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","486","Bananas","1999","1999","7021","Annual value","USD","347.2","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","486","Bananas","2000","2000","7021","Annual value","USD","358.2","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","486","Bananas","2001","2001","7021","Annual value","USD","384.2","","Official data"
"PP","Producer Prices","9","Argentina","5532","Producer Price (USD/tonne)","486","Bananas","2002","2002","7021","Annual value","USD","238","","Official data"
