Outbreak Reported,Year,Total Outbreaks
Taiwan,1977,1
,1978,1
,1979,1
,1980,1
,1981,1
,1982,1
,1983,1
,1984,1
,1985,1
,1986,1
,1987,1
,1988,1
,1989,1
,1990,1
,1991,1
Malaysia,1992,2
Indonesia,1992,3
,1993,3
,1994,3
,1995,3
China,1996,4
,1997,4
Australia,1998,5
,1999,5
,2000,5
,2001,5
,2002,5
,2003,5
,2004,5
Philippines,2005,6
,2006,6
,2007,6
,2008,6
,2009,6
,2010,6
,2011,6
Oman,2012,7
Jordan,2013,8
Mozambique,2013,9
Jordan,2014,10
Australia,2015,11
Lebanon,2015,12
Pakistan,2015,13
,2016,13
Laos,2017,14
Vietnam,2017,15
Myanmar,2018,16
Israel,2018,17
India,2018,18
Columbia,2019,19
Thailand,2019,20
Turkey,2019,21
